noise_std,seed,angle_deg,abs_angle_error,final_loss
0.12,13,74.7436,15.2564,0.000831
0.12,14,56.7241,33.2759,0.000825
0.12,15,41.6206,48.3794,0.000765
0.12,16,36.7565,53.2435,0.000871
0.12,17,64.4593,25.5407,0.000763
0.12,18,91.9144,1.9144,0.000918
0.12,19,79.9326,10.0674,0.000728
0.15,0,39.433,50.567,0.000879
0.15,1,122.2334,32.2334,0.000815
0.15,2,87.2933,2.7067,0.000913
0.15,3,59.0215,30.9785,0.000831
0.15,4,50.9001,39.0999,0.000695
0.15,5,110.5429,20.5429,0.000662
0.15,6,40.7085,49.2915,0.000723
0.15,7,38.8123,51.1877,0.000944
0.15,8,86.3431,3.6569,0.000896
0.15,9,66.5438,23.4562,0.000925
0.15,10,106.6103,16.6103,0.000941
0.15,11,54.7221,35.2779,0.000939
0.15,12,100.1386,10.1386,0.000714
0.15,13,72.3297,17.6703,0.000833
0.15,14,58.1575,31.8425,0.000954
0.15,15,48.1148,41.8852,0.00087
0.15,16,44.4893,45.5107,0.000905
0.15,17,64.6241,25.3759,0.000845
0.15,18,87.9552,2.0448,0.000968
0.15,19,79.3031,10.6969,0.000769
0.2,0,47.7409,42.2591,0.000868
0.2,1,111.4634,21.4634,0.000921
0.2,2,89.5925,0.4075,0.000699
0.2,3,70.8601,19.1399,0.000991
0.2,4,57.7973,32.2027,0.000924
0.2,5,102.6246,12.6246,0.000772
0.2,6,46.187,43.813,0.000893
0.2,7,52.3384,37.6616,0.000677
0.2,8,85.8358,4.1642,0.000811
0.2,9,72.0138,17.9862,0.000864
0.2,10,98.9444,8.9444,0.000985
0.2,11,58.652,31.348,0.000675
0.2,12,87.5469,2.4531,0.000999
0.2,13,74.2298,15.7702,0.000957
0.2,14,65.869,24.131,0.000845
0.2,15,65.5791,24.4209,0.000942
0.2,16,58.6838,31.3162,0.000782
0.2,17,66.7334,23.2666,0.000944
0.2,18,85.3338,4.6662,0.000831
0.2,19,78.9564,11.0436,0.00066
0.25,0,63.6072,26.3928,0.001
0.25,1,107.6657,17.6657,0.000978
0.25,2,92.4363,2.4363,0.000894
0.25,3,81.1301,8.8699,0.000959
0.25,4,64.9844,25.0156,0.000971
0.25,5,99.8089,9.8089,0.000959
0.25,6,59.1782,30.8218,0.000939
0.25,7,66.2781,23.7219,0.000759
0.25,8,89.8657,0.1343,0.000978
0.25,9,76.4865,13.5135,0.000977
0.25,10,95.8433,5.8433,0.000884
0.25,11,76.0184,13.9816,0.000982
0.25,12,89.1033,0.8967,0.000847
0.25,13,84.2137,5.7863,0.000966
0.25,14,75.4679,14.5321,0.000968
0.25,15,78.0647,11.9353,0.00095
0.25,16,74.1823,15.8177,0.000922
0.25,17,72.05,17.95,0.000999
0.25,18,90.2054,0.2054,0.000949
0.25,19,84.7173,5.2827,0.000859
0.3,0,68.4634,21.5366,0.000981
0.3,1,102.8369,12.8369,0.000975
0.3,2,93.7478,3.7478,0.000995
0.3,3,80.9656,9.0344,0.000954
0.3,4,72.2154,17.7846,0.000974
0.3,5,102.7944,12.7944,0.001399
0.3,6,64.0285,25.9715,0.000966
0.3,7,72.7593,17.2407,0.000957
0.3,8,87.5422,2.4578,0.000998
0.3,9,78.6834,11.3166,0.000967
0.3,10,94.69,4.69,0.000986
0.3,11,81.3767,8.6233,0.000972
0.3,12,95.3237,5.3237,0.000953
0.3,13,82.393,7.607,0.000998
0.3,14,79.2591,10.7409,0.000989
0.3,15,80.1507,9.8493,0.000979
0.3,16,78.1227,11.8773,0.000983
0.3,17,72.9896,17.0104,0.00098
0.3,18,91.0248,1.0248,0.000985
0.3,19,83.5089,6.4911,0.00089
0.4,0,49.7691,40.2309,0.136493
0.4,1,110.9898,20.9898,0.117418
0.4,2,95.7902,5.7902,0.163738
0.4,3,81.2803,8.7197,0.171435
0.4,4,64.4912,25.5088,0.149988
0.4,5,129.971,39.971,0.17296
0.4,6,57.2426,32.7574,0.145719
0.4,7,62.6771,27.3229,0.129248
0.4,8,75.8915,14.1085,0.1604
0.4,9,66.1513,23.8487,0.188405
0.4,10,93.1228,3.1228,0.087742
0.4,11,74.5252,15.4748,0.075599
0.4,12,97.7101,7.7101,0.159353
0.4,13,81.9019,8.0981,0.071356
0.4,14,72.5566,17.4434,0.09467
0.4,15,60.6858,29.3142,0.117639
0.4,16,66.3518,23.6482,0.142766
0.4,17,63.8457,26.1543,0.217274
0.4,18,91.2854,1.2854,0.119212
0.4,19,81.2679,8.7321,0.133299
0.5,0,52.2114,37.7886,0.33743
0.5,1,136.9712,46.9712,0.349523
0.5,2,105.9235,15.9235,0.431131
0.5,3,74.7761,15.2239,0.309701
0.5,4,55.885,34.115,0.368229
0.5,5,129.9306,39.9306,0.359822
0.5,6,45.1445,44.8555,0.313823
0.5,7,39.1481,50.8519,0.352433
0.5,8,63.8088,26.1912,0.346785
0.5,9,57.1023,32.8977,0.313337
0.5,10,112.9705,22.9705,0.321322
0.5,11,58.4813,31.5187,0.31302
0.5,12,114.5896,24.5896,0.325132
0.5,13,59.5066,30.4934,0.272206
0.5,14,62.631,27.369,0.273172
0.5,15,53.9892,36.0108,0.308925
0.5,16,47.0524,42.9476,0.349386
0.5,17,66.6912,23.3088,0.337693
0.5,18,89.0487,0.9513,0.333844
0.5,19,88.5747,1.4253,0.355224
